ADDRESS,CERT,CITY,COUNTY,NAME,OFFNAME,SERVTYPE,STALP,STCNTY,STNAME,ZIP,full_address,missed_address,lat,long
2103 Hamilton St,29950,Philadelphia,Philadelphia,"Santander Bank, N.A.",RODIN SQUARE,11,PA,42101,Pennsylvania,19130,"2103 Hamilton St, Philadelphia, PA 19130",False,39.96274,-75.173619
2118 Cottman Ave Spc 6,3510,Philadelphia,Philadelphia,"Bank of America, National Association",COTTMAN PLAZA BRANCH,11,PA,42101,Pennsylvania,19149,"2118 Cottman Ave Spc 6, Philadelphia, PA 19149",False,40.048991,-75.063314
4600 E Roosevelt Blvd,628,Philadelphia,Philadelphia,"JPMorgan Chase Bank, National Association",Northeast Tower Branch,11,PA,42101,Pennsylvania,19124,"4600 E Roosevelt Blvd, Philadelphia, PA 19124",False,40.032467,-75.101311
1500 Market St,28359,Philadelphia,Philadelphia,"OceanFirst Bank, National Association",Market Street Branch,11,PA,42101,Pennsylvania,19102,"1500 Market St, Philadelphia, PA 19102",False,39.952689,-75.169062
1148 Frankford Avenue,3511,Philadelphia,Philadelphia,"Wells Fargo Bank, National Association",FISHTOWN BRANCH,11,PA,42101,Pennsylvania,19123,"1148 Frankford Avenue, Philadelphia, PA 19123",False,39.968391,-75.134757
1945 E Passyunk Ave,28836,Philadelphia,Philadelphia,United Savings Bank,MARCONI BRANCH,11,PA,42101,Pennsylvania,19148,"1945 E Passyunk Ave, Philadelphia, PA 19148",False,39.92583,-75.16796
6425 Rising Sun Ave,3510,Philadelphia,Philadelphia,"Bank of America, National Association",LAWNDALE BRANCH,11,PA,42101,Pennsylvania,19111,"6425 Rising Sun Ave, Philadelphia, PA 19111",False,40.050059,-75.094731
1901 E Passyunk Ave,17838,Philadelphia,Philadelphia,"Wilmington Savings Fund Society, FSB",SAINT EDMOND'S BRANCH,11,PA,42101,Pennsylvania,19148,"1901 E Passyunk Ave, Philadelphia, PA 19148",False,39.926424,-75.167293
2200 Cottman Ave,6384,Philadelphia,Philadelphia,"PNC Bank, National Association",COTTMAN BRANCH,11,PA,42101,Pennsylvania,19149,"2200 Cottman Ave, Philadelphia, PA 19149",False,40.048823,-75.062335
9375 Bustleton Ave,588,Philadelphia,Philadelphia,Manufacturers and Traders Trust Company,BUSTLETON BRANCH,11,PA,42101,Pennsylvania,19115,"9375 Bustleton Ave, Philadelphia, PA 19115",False,40.08485,-75.03791
2653 South 5th St,18409,Philadelphia,Philadelphia,"TD Bank, National Association",WHITMAN BRANCH,11,PA,42101,Pennsylvania,19148,"2653 South 5th St, Philadelphia, PA 19148",False,39.914934,-75.156704
1601 Walnut St,27332,Philadelphia,Philadelphia,Republic Bank,WALNUT STREET BRANCH,11,PA,42101,Pennsylvania,19102,"1601 Walnut St, Philadelphia, PA 19102",False,39.949988,-75.167693
